Performance da campanha
26 de julho de 2026 - 24 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-20,76,1.677,"4,53%","0,72","54,55","18,97",0,"2,88","24,96%",1,"Contato: 12,00; Outro: 6,97; Engajamento: 67,00; Ver rotas: 3,00; Visualização de página: 3,00","98,97","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-17,72,1.856,"3,88%","0,65","46,68","9,00",0,"5,19","12,50%",0,"Contato: 7,00; Outro: 2,00; Engajamento: 59,00; Ver rotas: 6,00; Leads de mensagens: 1,00; Visualização de página: 5,00","87,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-24,70,1.407,"4,98%","0,62","43,45","10,00",0,"4,35","14,28%",1,"Contato: 5,00; Outro: 4,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Lead telefônico: 1,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-18,68,1.568,"4,34%","0,81","55,32","16,00",0,"3,46","23,53%",3,"Contato: 6,00; Outro: 7,00; Engajamento: 50,00; Visualização de página: 8,00; Lead telefônico: 3,00","92,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-27,63,1.546,"4,08%","0,66","41,64","13,00",0,"3,20","20,63%",0,"Contato: 7,00; Outro: 6,00; Engajamento: 55,00; Ver rotas: 1,00; Visualização de página: 7,00","76,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-19,54,1.600,"3,38%","0,67","35,99","10,99",0,"3,27","20,36%",0,"Contato: 6,00; Outro: 4,99; Engajamento: 37,00; Ver rotas: 4,00; Visualização de página: 1,00","61,99","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-28,50,1.226,"4,08%","0,82","41,04","10,00",0,"4,10","19,61%",1,"Contato: 5,00; Outro: 5,00; Engajamento: 37,00; Ver rotas: 3,00; Visualização de página: 4,00","62,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-04,50,1.426,"3,51%","0,85","42,67","11,00",0,"3,88","22,01%",2,"Contato: 6,00; Outro: 5,00; Engajamento: 27,00; Ver rotas: 5,00; Visualização de página: 2,00; Lead telefônico: 0,00","54,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-05,49,1.104,"4,44%","0,75","36,58","4,00",0,"9,15","8,16%",1,"Contato: 2,00; Outro: 2,00; Engajamento: 41,00; Ver rotas: 1,00; Visualização de página: 2,00","52,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-31,48,1.386,"3,46%","0,79","37,87","11,00",0,"3,44","22,92%",1,"Contato: 6,00; Outro: 4,00; Engajamento: 15,00; Lead telefônico: 1,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-10,47,1.234,"3,81%","0,72","33,88","13,01",0,"2,61","27,67%",3,"Contato: 7,00; Outro: 5,01; Engajamento: 34,00; Ver rotas: 3,00; Visualização de página: 2,00; Lead telefônico: 1,00","57,01","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-30,46,1.213,"3,79%","0,67","30,95","13,00",0,"2,38","28,26%",1,"Contato: 5,00; Outro: 7,00; Engajamento: 54,00; Ver rotas: 1,00; Visualização de página: 2,00; Lead telefônico: 1,00","74,00","3,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-22,46,896,"5,13%","0,67","30,98","4,00",0,"7,74","8,70%",0,"Contato: 2,00; Outro: 2,00; Engajamento: 49,00; Ver rotas: 1,00","62,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-11,45,1.121,"4,01%","0,69","30,85","9,00",0,"3,43","20,00%",1,"Contato: 8,00; Outro: 1,00; Engajamento: 11,00; Ver rotas: 2,00; Visualização de página: 1,00","26,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-14,45,1.135,"3,96%","0,75","33,54","16,02",0,"2,09","35,59%",0,"Contato: 9,00; Outro: 7,02; Engajamento: 25,00; Leads de mensagens: 1,00; Visualização de página: 1,00","43,02","2,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-21,44,1.139,"3,86%","0,78","34,36","12,98",0,"2,65","29,49%",0,"Contato: 7,00; Outro: 5,98; Engajamento: 19,00; Visualização de página: 2,00","36,98","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-08-06,43,1.074,"4,00%","0,98","42,26","5,00",0,"8,45","11,63%",1,"Contato: 4,00; Outro: 1,00; Engajamento: 47,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Visualização de página: 1,00","57,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,BRL,"30,00",22 de mar. de 2024, --,21116045403,2026-07-29,39,1.088,"3,58%","0,86","33,70","11,01",0,"3,06","28,24%",0,"Contato: 5,00; Outro: 6,01; Engajamento: 71,00; Ver rotas: 3,00; Visualização de página: 4,00","97,01","3,00"
