Performance da campanha
26 de junho de 2026 - 24 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-25,11,247,"4,45%","0,25","2,71","0,00",0,0,"0,00%",0,"Engajamento: 16,00; Ver rotas: 4,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-10,11,170,"6,47%","0,24","2,61","0,00",0,0,"0,00%",0,"Engajamento: 14,00; Ver rotas: 1,00; Visualização de página: 7,00","22,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-30,10,163,"6,13%","0,44","4,41","0,00",0,0,"0,00%",0,"Engajamento: 15,00; Ver rotas: 2,00","17,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-04,8,157,"5,10%","0,17","1,37","3,00",0,"0,46","37,50%",1,"Contato: 2,00; Engajamento: 12,00; Visualização de página: 2,00; Lead telefônico: 1,00","17,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-14,8,180,"4,44%","0,37","2,97","1,00",0,"2,97","10,00%",1,"Contato: 1,00; Engajamento: 10,00","11,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-20,8,134,"5,97%","0,52","4,17","0,00",0,0,"0,00%",1,"Engajamento: 28,00","28,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-22,8,140,"5,71%","0,42","3,36","0,00",0,0,"0,00%",0,"Engajamento: 14,00; Visualização de página: 1,00","15,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-26,7,146,"4,79%","0,23","1,58","0,00",0,0,"0,00%",0,0,"0,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-27,7,279,"2,51%","0,27","1,89","0,00",0,0,"0,00%",0,"Engajamento: 21,00; Ver rotas: 1,00; Visualização de página: 1,00","23,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-03,7,186,"3,76%","0,32","2,27","0,00",0,0,"0,00%",0,"Engajamento: 35,00; Ver rotas: 4,00; Visualização de página: 1,00","40,00","0,00"
