Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-17,36,819,"4,40%",BRL,"0,58","21,02","5,00",0,"4,20","13,51%","Contato: 7,00; Outro: 2,00; Engajamento: 43,00; Visualização de página: 2,00; Visita à loja: 2,00",0,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-26,35,535,"6,54%",BRL,"0,30","10,42","2,00",0,"5,21","5,71%","Contato: 2,00; Engajamento: 19,00; Ver rotas: 1,00; Visualização de página: 2,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-20,32,721,"4,44%",BRL,"0,44","14,07","1,00",0,"14,07","3,13%","Contato: 1,00; Engajamento: 16,00; Ver rotas: 3,00; Visita à loja: 3,00",0,0,0,"3,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-02,32,555,"5,77%",BRL,"0,62","19,81","1,00",0,"19,81","3,13%","Contato: 1,01; Outro: 0,01; Engajamento: 40,00; Ver rotas: 4,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-28,31,581,"5,34%",BRL,"0,51","15,85","1,00",0,"15,85","3,23%","Contato: 2,00; Outro: 1,02; Engajamento: 5,00; Visualização de página: 2,00; Visita à loja: 2,00",0,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-16,30,549,"5,46%",BRL,"0,73","21,75","4,00",0,"5,44","13,33%","Contato: 2,00; Contato: 2,00; Engajamento: 25,00; Visualização de página: 2,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-08,30,461,"6,51%",BRL,"0,27","8,00","0,00",0,0,"0,00%","Engajamento: 6,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-13,30,573,"5,24%",BRL,"0,59","17,70","0,00",0,0,"0,00%","Engajamento: 16,00; Ver rotas: 1,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-06,27,525,"5,14%",BRL,"0,73","19,60","5,00",0,"3,92","18,52%","Contato: 2,00; Contato: 2,00; Engajamento: 32,00; Visualização de página: 4,00; Lead telefônico: 1,00; Visita à loja: 1,00",3,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-19,26,652,"3,99%",BRL,"0,48","12,47","1,00",0,"12,47","3,85%","Contato: 1,00; Engajamento: 1,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-18,25,547,"4,57%",BRL,"0,32","7,91","1,00",0,"7,91","4,00%","Contato: 1,00; Engajamento: 12,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-31,24,429,"5,59%",BRL,"0,51","12,33","0,00",0,0,"0,00%","Engajamento: 18,00; Ver rotas: 1,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-05,24,472,"5,08%",BRL,"0,28","6,76","1,00",0,"6,76","4,17%","Contato: 1,00; Engajamento: 44,00; Visualização de página: 3,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-07,24,516,"4,65%",BRL,"0,29","6,98","0,00",0,0,"0,00%","Engajamento: 22,00; Ver rotas: 6,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-12,24,577,"4,16%",BRL,"0,62","14,82","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 37,00",3,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-31,20,333,"6,01%",BRL,"0,33","6,53","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 20,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-24,18,318,"5,66%",BRL,"0,62","11,12","0,00",0,0,"0,00%","Engajamento: 1,00; Ver rotas: 2,00; Visita à loja: 2,00",0,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-21,17,199,"8,54%",BRL,"0,74","12,66","2,00",0,"6,33","11,76%","Contato: 1,00; Contato: 1,00; Engajamento: 47,00; Visita à loja: 1,00",2,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-30,17,623,"2,73%",BRL,"0,86","14,55","0,00",0,0,"0,00%","Engajamento: 1,00; Ver rotas: 2,00; Visualização de página: 2,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-25,16,360,"4,44%",BRL,"0,50","8,07","0,00",0,0,"0,00%","Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-02,15,148,"10,14%",BRL,"1,31","19,65","12,00",0,"1,64","80,00%","Contato: 2,00; Engajamento: 40,00; Ver rotas: 10,00; Visualização de página: 1,00; Visita à loja: 1,00",2,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-23,15,540,"2,78%",BRL,"0,89","13,36","1,00",0,"13,36","5,26%","Contato: 1,00; Engajamento: 18,00; Visualização de página: 4,00; Visita à loja: 3,00",0,0,0,"3,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-09,15,388,"3,87%",BRL,"0,39","5,80","0,00",0,0,"0,00%","Engajamento: 20,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-10,14,368,"3,80%",BRL,"0,52","7,29","0,00",0,0,"0,00%","Contato: 1,00; Outro: 1,00; Engajamento: 1,00; Ver rotas: 1,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-16,14,165,"8,48%",BRL,"1,21","16,88","1,00",0,"16,88","7,14%","Contato: 1,00; Engajamento: 37,00; Ver rotas: 2,00; Visita à loja: 4,00",2,0,0,"4,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-08,14,149,"9,40%",BRL,"0,14","1,96","0,00",0,0,"0,00%","Engajamento: 1,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-13,14,125,"11,20%",BRL,"0,69","9,67","3,00",0,"3,22","21,43%","Contato: 1,00; Engajamento: 6,00; Ver rotas: 1,00; Visualização de página: 1,00; Lead telefônico: 2,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-26,14,190,"7,37%",BRL,"0,37","5,21","0,00",0,0,"0,00%","Engajamento: 44,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-09,13,227,"5,73%",BRL,"1,56","20,25","6,00",0,"3,37","46,15%","Contato: 1,00; Engajamento: 13,00; Ver rotas: 5,00; Visualização de página: 1,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-01,13,253,"5,14%",BRL,"0,45","5,80","1,00",0,"5,80","7,69%","Contato: 1,00; Engajamento: 4,00; Leads de mensagens: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-04,13,217,"5,99%",BRL,"0,58","7,51","0,00",0,0,"0,00%","Engajamento: 40,00; Ver rotas: 1,00; Visualização de página: 4,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-11,13,589,"2,21%",BRL,"1,14","14,76","0,00",0,0,"0,00%","Contato: 1,00; Outro: 5,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-14,13,172,"7,56%",BRL,"0,88","11,41","0,00",0,0,"0,00%","Engajamento: 5,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-31,13,133,"9,77%",BRL,"0,34","4,37","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 44,00; Ver rotas: 1,00; Visualização de página: 3,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-20,13,252,"5,16%",BRL,"0,39","5,05","0,00",0,0,"0,00%","Engajamento: 18,00; Ver rotas: 2,00; Visualização de página: 3,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-27,13,259,"5,02%",BRL,"0,63","8,18","2,00",0,"4,09","15,38%","Contato: 2,00; Engajamento: 72,00; Ver rotas: 4,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-05,12,147,"8,16%",BRL,"1,39","16,68","8,00",0,"2,08","66,67%","Contato: 2,00; Engajamento: 62,00; Ver rotas: 6,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-07,12,150,"8,00%",BRL,"1,68","20,21","2,00",0,"10,11","16,67%","Contato: 1,00; Engajamento: 48,00; Ver rotas: 1,00",3,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-12,12,132,"9,09%",BRL,"1,35","16,20","0,00",0,0,"0,00%","Engajamento: 41,00; Ver rotas: 9,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-22,12,319,"3,76%",BRL,"0,62","7,46","0,00",0,0,"0,00%","Engajamento: 4,00; Visualização de página: 2,00; Visita à loja: 1,00",0,0,0,"1,00",0,"12,01%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-17,12,178,"6,74%",BRL,"0,90","10,84","1,00",0,"10,84","8,33%","Contato: 1,00; Engajamento: 22,00; Ver rotas: 1,00; Visualização de página: 1,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-01,12,159,"7,55%",BRL,"0,12","1,48","0,00",0,0,"0,00%","Engajamento: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-22,12,172,"6,98%",BRL,"0,29","3,51","1,00",0,"3,51","8,33%","Contato: 1,00; Engajamento: 17,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-08,12,287,"4,18%",BRL,"0,55","6,63","5,00",0,"1,33","41,67%","Contato: 5,00; Engajamento: 28,00; Ver rotas: 4,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-09,12,251,"4,78%",BRL,"0,35","4,20","0,00",0,0,"0,00%","Engajamento: 29,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-21,11,236,"4,66%",BRL,"0,24","2,61","0,00",0,0,"0,00%","Engajamento: 18,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-05,11,135,"8,15%",BRL,"0,73","7,98","0,00",0,0,"0,00%","Contato: 1,00; Outro: 1,00; Engajamento: 23,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-03-07,11,262,"4,20%",BRL,"0,41","4,56","1,00",0,"4,56","9,09%","Engajamento: 14,00; Lead telefônico: 1,00; Visita à loja: 1,00",2,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-25,11,246,"4,47%",BRL,"0,26","2,82","4,00",0,"0,71","36,36%","Contato: 4,00; Engajamento: 28,00; Ver rotas: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-30,11,425,"2,59%",BRL,"0,56","6,13","0,00",0,0,"0,00%","Engajamento: 8,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-07-25,11,247,"4,45%",BRL,"0,25","2,71","0,00",0,0,"0,00%","Engajamento: 16,00; Ver rotas: 4,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-10,11,170,"6,47%",BRL,"0,24","2,61","0,00",0,0,"0,00%","Engajamento: 14,00; Ver rotas: 1,00; Visualização de página: 7,00",0,0,0,"0,00",0,"12,48%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-08-29,11,211,"5,21%",BRL,"0,35","3,88","0,00",0,0,"0,00%","Contato: 1,00; Engajamento: 23,00",0,0,0,"0,00",0,"10,52%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-09-05,11,243,"4,53%",BRL,"0,38","4,23","1,00",0,"4,23","9,09%","Contato: 2,00; Engajamento: 15,00; Ver rotas: 1,00; Visualização de página: 3,00",1,0,0,"0,00",0,"11,20%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-04,10,330,"3,03%",BRL,"1,20","11,99","2,00",0,"6,00","20,00%","Engajamento: 21,00; Ver rotas: 2,00",0,0,0,"0,00",0,"14,50%",0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-01-27,10,229,"4,37%",BRL,"0,32","3,20","0,00",0,0,"0,00%","Engajamento: 53,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-02-20,10,206,"4,85%",BRL,"0,42","4,17","1,00",0,"4,17","10,00%","Contato: 1,00; Engajamento: 51,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-04-29,10,324,"3,09%",BRL,"0,43","4,26","1,00",0,"4,26","10,00%","Contato: 1,00; Engajamento: 28,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-02,10,382,"2,62%",BRL,"0,78","7,80","2,00",0,"3,90","20,00%","Contato: 2,00; Engajamento: 14,00; Ver rotas: 1,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-05-30,10,332,"3,01%",BRL,"0,62","6,25","0,00",0,0,"0,00%","Engajamento: 9,00; Ver rotas: 1,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,21149189736,2026-07-30,10,163,"6,13%",BRL,"0,44","4,41","0,00",0,0,"0,00%","Engajamento: 15,00; Ver rotas: 2,00",0,0,0,"0,00",0,< 10%,0,0
