Performance da campanha
1 de janeiro de 2026 - 25 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-17,36,819,"4,40%","0,58","21,02","5,00",0,"4,20","13,51%",0,"Contato: 7,00; Outro: 2,00; Engajamento: 43,00; Visualização de página: 2,00; Visita à loja: 2,00","56,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-26,35,535,"6,54%","0,30","10,42","2,00",0,"5,21","5,71%",1,"Contato: 2,00; Engajamento: 19,00; Ver rotas: 1,00; Visualização de página: 2,00; Visita à loja: 1,00","25,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-20,32,721,"4,44%","0,44","14,07","1,00",0,"14,07","3,13%",0,"Contato: 1,00; Engajamento: 16,00; Ver rotas: 3,00; Visita à loja: 3,00","23,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-02,32,555,"5,77%","0,62","19,81","1,00",0,"19,81","3,13%",0,"Contato: 1,01; Outro: 0,01; Engajamento: 40,00; Ver rotas: 4,00","45,02","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-28,31,581,"5,34%","0,51","15,85","1,00",0,"15,85","3,23%",0,"Contato: 2,00; Outro: 1,02; Engajamento: 5,00; Visualização de página: 2,00; Visita à loja: 2,00","12,02","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-16,30,549,"5,46%","0,73","21,75","4,00",0,"5,44","13,33%",1,"Contato: 2,00; Contato: 2,00; Engajamento: 25,00; Visualização de página: 2,00; Visita à loja: 1,00","32,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-08,30,461,"6,51%","0,27","8,00","0,00",0,0,"0,00%",0,"Engajamento: 6,00; Visualização de página: 1,00","7,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-13,30,573,"5,24%","0,59","17,70","0,00",0,0,"0,00%",0,"Engajamento: 16,00; Ver rotas: 1,00; Visualização de página: 2,00","19,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-06,27,525,"5,14%","0,73","19,60","5,00",0,"3,92","18,52%",3,"Contato: 2,00; Contato: 2,00; Engajamento: 32,00; Visualização de página: 4,00; Lead telefônico: 1,00; Visita à loja: 1,00","44,00","1,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-19,26,652,"3,99%","0,48","12,47","1,00",0,"12,47","3,85%",0,"Contato: 1,00; Engajamento: 1,00; Visita à loja: 1,00","3,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-18,25,547,"4,57%","0,32","7,91","1,00",0,"7,91","4,00%",0,"Contato: 1,00; Engajamento: 12,00; Visita à loja: 1,00","14,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-31,24,429,"5,59%","0,51","12,33","0,00",0,0,"0,00%",1,"Engajamento: 18,00; Ver rotas: 1,00; Visualização de página: 1,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-05,24,472,"5,08%","0,28","6,76","1,00",0,"6,76","4,17%",0,"Contato: 1,00; Engajamento: 44,00; Visualização de página: 3,00","48,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-07,24,516,"4,65%","0,29","6,98","0,00",0,0,"0,00%",0,"Engajamento: 22,00; Ver rotas: 6,00; Visualização de página: 2,00","30,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-12,24,577,"4,16%","0,62","14,82","0,00",0,0,"0,00%",3,"Contato: 1,00; Engajamento: 37,00","38,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-24,18,318,"5,66%","0,62","11,12","0,00",0,0,"0,00%",0,"Engajamento: 1,00; Ver rotas: 2,00; Visita à loja: 2,00","5,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-21,17,199,"8,54%","0,74","12,66","2,00",0,"6,33","11,76%",2,"Contato: 1,00; Contato: 1,00; Engajamento: 47,00; Visita à loja: 1,00","50,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-30,17,623,"2,73%","0,86","14,55","0,00",0,0,"0,00%",1,"Engajamento: 1,00; Ver rotas: 2,00; Visualização de página: 2,00; Visita à loja: 1,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-25,16,360,"4,44%","0,50","8,07","0,00",0,0,"0,00%",0,"Visualização de página: 1,00","1,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-02,15,148,"10,14%","1,31","19,65","12,00",0,"1,64","80,00%",2,"Contato: 2,00; Engajamento: 40,00; Ver rotas: 10,00; Visualização de página: 1,00; Visita à loja: 1,00","54,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-23,15,540,"2,78%","0,89","13,36","1,00",0,"13,36","5,26%",0,"Contato: 1,00; Engajamento: 18,00; Visualização de página: 4,00; Visita à loja: 3,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-09,15,388,"3,87%","0,39","5,80","0,00",0,0,"0,00%",0,"Engajamento: 20,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-10,14,368,"3,80%","0,52","7,29","0,00",0,0,"0,00%",0,"Contato: 1,00; Outro: 1,00; Engajamento: 1,00; Ver rotas: 1,00; Visualização de página: 1,00","5,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-16,14,165,"8,48%","1,21","16,88","1,00",0,"16,88","7,14%",2,"Contato: 1,00; Engajamento: 37,00; Ver rotas: 2,00; Visita à loja: 4,00","44,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-08,14,149,"9,40%","0,14","1,96","0,00",0,0,"0,00%",0,"Engajamento: 1,00; Visualização de página: 1,00","2,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-13,14,125,"11,20%","0,69","9,67","3,00",0,"3,22","21,43%",2,"Contato: 1,00; Engajamento: 6,00; Ver rotas: 1,00; Visualização de página: 1,00; Lead telefônico: 2,00","11,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-26,14,190,"7,37%","0,37","5,21","0,00",0,0,"0,00%",0,"Engajamento: 44,00; Visualização de página: 1,00","45,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-09,13,227,"5,73%","1,56","20,25","6,00",0,"3,37","46,15%",1,"Contato: 1,00; Engajamento: 13,00; Ver rotas: 5,00; Visualização de página: 1,00; Lead telefônico: 1,00","21,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-01,13,253,"5,14%","0,45","5,80","1,00",0,"5,80","7,69%",0,"Contato: 1,00; Engajamento: 4,00; Leads de mensagens: 1,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-04,13,217,"5,99%","0,58","7,51","0,00",0,0,"0,00%",0,"Engajamento: 40,00; Ver rotas: 1,00; Visualização de página: 4,00","45,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-11,13,589,"2,21%","1,14","14,76","0,00",0,0,"0,00%",0,"Contato: 1,00; Outro: 5,00","6,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-14,13,172,"7,56%","0,88","11,41","0,00",0,0,"0,00%",0,"Engajamento: 5,00","5,00","0,00"
