Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-01,176,2.143,"8,21%",BRL,"0,33","58,12","41,00",0,"1,42","23,30%","Contato: 12,00; Outro: 25,00; Engajamento: 19,00; Ver rotas: 18,00; Visualização de página: 2,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-19,163,3.337,"4,88%",BRL,"0,30","48,83","20,00",0,"2,44","12,27%","Contato: 12,00; Outro: 8,00; Engajamento: 28,00; Ver rotas: 2,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-26,140,2.232,"6,27%",BRL,"0,36","50,78","22,00",0,"2,31","15,71%","Contato: 12,00; Outro: 10,00; Engajamento: 23,00; Ver rotas: 3,00; Visualização de página: 4,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-05,138,1.836,"7,52%",BRL,"0,22","29,98","44,00",0,"0,68","31,88%","Contato: 17,00; Outro: 25,00; Engajamento: 11,00; Ver rotas: 14,00; Visualização de página: 3,00",3,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-07,138,1.787,"7,72%",BRL,"0,35","48,84","8,00",0,"6,10","5,56%","Contato: 4,00; Outro: 4,00",0,0,0,"0,00",0, --,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-12,132,1.561,"8,46%",BRL,"0,31","41,14","43,00",0,"0,96","32,58%","Contato: 15,00; Outro: 25,00; Engajamento: 164,00; Ver rotas: 15,00; Visualização de página: 8,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-09,122,2.107,"5,79%",BRL,"0,41","50,61","27,98",0,"1,81","22,94%","Contato: 16,00; Outro: 10,98; Engajamento: 85,00; Ver rotas: 6,00; Visualização de página: 5,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-28,118,1.375,"8,58%",BRL,"0,26","30,63","27,00",0,"1,13","22,88%","Contato: 14,00; Outro: 10,00; Engajamento: 11,00; Lead telefônico: 3,00",4,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-02,113,1.236,"9,14%",BRL,"0,25","28,55","60,00",0,"0,48","53,10%","Contato: 11,00; Outro: 48,00; Engajamento: 36,00; Ver rotas: 7,00; Visualização de página: 3,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-23,111,1.295,"8,57%",BRL,"0,35","38,34","17,00",0,"2,26","15,32%","Contato: 9,00; Outro: 8,00; Engajamento: 33,00; Ver rotas: 2,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-17,108,2.191,"4,93%",BRL,"0,40","42,94","13,00",0,"3,30","12,04%","Contato: 7,00; Outro: 6,00; Engajamento: 29,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-16,107,2.026,"5,28%",BRL,"0,34","36,65","20,00",0,"1,83","18,69%","Contato: 11,00; Outro: 9,00; Engajamento: 74,00; Ver rotas: 4,00; Visualização de página: 2,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-03,102,1.317,"7,74%",BRL,"0,26","26,04","33,00",0,"0,79","32,35%","Contato: 9,00; Outro: 24,00; Engajamento: 9,00; Ver rotas: 13,00",1,0,0,"0,00",0,< 10%,0,0
